,year,state,candidate,party,totalvotes,Eligible_voting_pop,electoralvotes,candidatevotes,state_won_flag,percent_won
0,1976,Alabama,Other,prohibition,1182850,0.0,9.0,6669,0,0.56
1,1976,Alabama,"Carter, Jimmy",democrat,1182850,0.0,9.0,659170,1,55.73
2,1976,Alabama,"Ford, Gerald",republican,1182850,0.0,9.0,504070,0,42.61
3,1976,Alabama,Other,communist party use,1182850,0.0,9.0,1954,0,0.17
4,1976,Alabama,Other,libertarian,1182850,0.0,9.0,1481,0,0.13
5,1976,Alabama,Other,american independent party,1182850,0.0,9.0,9198,0,0.78
6,1976,Alaska,"Carter, Jimmy",democrat,123574,0.0,3.0,44058,0,35.65
7,1976,Alaska,"Ford, Gerald",republican,123574,0.0,3.0,71555,1,57.9
8,1976,Alaska,Other,libertarian,123574,0.0,3.0,6785,0,5.49
9,1976,Arizona,Other,constitution party,742719,0.0,6.0,564,0,0.08
10,1976,Arizona,Other,socialist workers,742719,0.0,6.0,928,0,0.12
11,1976,Arizona,"Carter, Jimmy",democrat,742719,0.0,6.0,295602,0,39.8
12,1976,Arizona,"Ford, Gerald",republican,742719,0.0,6.0,418642,1,56.37
13,1976,Arizona,Other,libertarian,742719,0.0,6.0,7647,0,1.03
14,1976,Arizona,Other,american independent party,742719,0.0,6.0,85,0,0.01
15,1976,Arizona,Other,independent,742719,0.0,6.0,19229,0,2.59
16,1976,Arkansas,"Carter, Jimmy",democrat,767535,0.0,6.0,498604,1,64.96
17,1976,Arkansas,"Ford, Gerald",republican,767535,0.0,6.0,267903,0,34.9
18,1976,Arkansas,Other,american independent party,767535,0.0,6.0,389,0,0.05
19,1976,California,Other,socialist workers,7803770,0.0,45.0,17259,0,0.22
20,1976,California,"Carter, Jimmy",democrat,7803770,0.0,45.0,3742284,0,47.95
21,1976,California,"Ford, Gerald",republican,7803770,0.0,45.0,3882244,1,49.75
22,1976,California,Other,communist party use,7803770,0.0,45.0,12766,0,0.16
23,1976,California,Other,libertarian,7803770,0.0,45.0,56388,0,0.72
24,1976,California,Other,american independent party,7803770,0.0,45.0,51098,0,0.65
25,1976,California,Other,peace & freedom,7803770,0.0,45.0,41731,0,0.53
26,1976,Colorado,Other,prohibition,1081440,0.0,7.0,2886,0,0.27
27,1976,Colorado,Other,socialist workers,1081440,0.0,7.0,1122,0,0.1
28,1976,Colorado,"Carter, Jimmy",democrat,1081440,0.0,7.0,460801,0,42.61
29,1976,Colorado,"Ford, Gerald",republican,1081440,0.0,7.0,584278,1,54.03
30,1976,Colorado,Other,communist party use,1081440,0.0,7.0,403,0,0.04
31,1976,Colorado,Other,u.s. labor,1081440,0.0,7.0,565,0,0.05
32,1976,Colorado,Other,libertarian,1081440,0.0,7.0,5338,0,0.49
33,1976,Colorado,Other,independent,1081440,0.0,7.0,26047,0,2.41
34,1976,Connecticut,"Carter, Jimmy",democrat,1386355,0.0,8.0,647895,0,46.73
35,1976,Connecticut,"Ford, Gerald",republican,1386355,0.0,8.0,719261,1,51.88
36,1976,Connecticut,Other,u.s. labor,1386355,0.0,8.0,1789,0,0.13
37,1976,Connecticut,Other,american independent party,1386355,0.0,8.0,7101,0,0.51
38,1976,Connecticut,Other,unknown,1386355,0.0,8.0,10309,0,0.74
39,1976,Delaware,Other,constitution party,235642,0.0,3.0,645,0,0.27
40,1976,Delaware,Other,prohibition,235642,0.0,3.0,103,0,0.04
41,1976,Delaware,"Carter, Jimmy",democrat,235642,0.0,3.0,122461,1,51.97
42,1976,Delaware,"Ford, Gerald",republican,235642,0.0,3.0,109780,0,46.59
43,1976,Delaware,Other,u.s. labor,235642,0.0,3.0,135,0,0.06
44,1976,Florida,Other,constitution party,3150631,0.0,17.0,21325,0,0.68
45,1976,Florida,"Carter, Jimmy",democrat,3150631,0.0,17.0,1636000,1,51.93
46,1976,Florida,"Ford, Gerald",republican,3150631,0.0,17.0,1469531,0,46.64
47,1976,Florida,Other,independent,3150631,0.0,17.0,23643,0,0.75
48,1976,Georgia,"Carter, Jimmy",democrat,1463152,0.0,12.0,979409,1,66.94
49,1976,Georgia,"Ford, Gerald",republican,1463152,0.0,12.0,483743,0,33.06
50,1976,Hawaii,"Carter, Jimmy",democrat,291301,0.0,4.0,147375,1,50.59
51,1976,Hawaii,"Ford, Gerald",republican,291301,0.0,4.0,140003,0,48.06
52,1976,Hawaii,Other,libertarian,291301,0.0,4.0,3923,0,1.35
53,1976,Idaho,"Carter, Jimmy",democrat,340932,0.0,4.0,126549,0,37.12
54,1976,Idaho,"Ford, Gerald",republican,340932,0.0,4.0,204151,1,59.88
55,1976,Idaho,Other,u.s. labor,340932,0.0,4.0,739,0,0.22
56,1976,Idaho,Other,libertarian,340932,0.0,4.0,3558,0,1.04
57,1976,Idaho,Other,american independent party,340932,0.0,4.0,5935,0,1.74
58,1976,Illinois,Other,socialist workers,4721282,0.0,26.0,3615,0,0.08
59,1976,Illinois,"Carter, Jimmy",democrat,4721282,0.0,26.0,2271295,0,48.11
60,1976,Illinois,"Ford, Gerald",republican,4721282,0.0,26.0,2364269,1,50.08
61,1976,Illinois,Other,communist party use,4721282,0.0,26.0,9250,0,0.2
62,1976,Illinois,Other,socialist labor,4721282,0.0,26.0,2422,0,0.05
63,1976,Illinois,Other,u.s. labor,4721282,0.0,26.0,2018,0,0.04
64,1976,Illinois,Other,libertarian,4721282,0.0,26.0,8057,0,0.17
65,1976,Illinois,Other,independent,4721282,0.0,26.0,55939,0,1.18
66,1976,Indiana,Other,constitution party,2220362,0.0,13.0,14048,0,0.63
67,1976,Indiana,Other,socialist workers,2220362,0.0,13.0,5695,0,0.26
68,1976,Indiana,"Carter, Jimmy",democrat,2220362,0.0,13.0,1014714,0,45.7
69,1976,Indiana,"Ford, Gerald",republican,2220362,0.0,13.0,1183958,1,53.32
70,1976,Indiana,Other,u.s. labor,2220362,0.0,13.0,1947,0,0.09
71,1976,Iowa,Other,constitution party,1279303,0.0,8.0,3041,0,0.24
72,1976,Iowa,Other,socialist workers,1279303,0.0,8.0,262,0,0.02
73,1976,Iowa,"Carter, Jimmy",democrat,1279303,0.0,8.0,619931,0,48.46
74,1976,Iowa,"Ford, Gerald",republican,1279303,0.0,8.0,632864,1,49.47
75,1976,Iowa,Other,communist party use,1279303,0.0,8.0,551,0,0.04
76,1976,Iowa,Other,socialist labor,1279303,0.0,8.0,160,0,0.01
77,1976,Iowa,Other,u.s. labor,1279303,0.0,8.0,241,0,0.02
78,1976,Iowa,Other,libertarian,1279303,0.0,8.0,1454,0,0.11
79,1976,Iowa,Other,independent,1279303,0.0,8.0,20057,0,1.57
80,1976,Iowa,Other,unknown,1279303,0.0,8.0,509,0,0.04
81,1976,Iowa,Other,socialist,1279303,0.0,8.0,233,0,0.02
82,1976,Kansas,Other,constitution party,957845,0.0,7.0,4724,0,0.49
83,1976,Kansas,Other,prohibition,957845,0.0,7.0,1403,0,0.15
84,1976,Kansas,"Carter, Jimmy",democrat,957845,0.0,7.0,430421,0,44.94
85,1976,Kansas,"Ford, Gerald",republican,957845,0.0,7.0,502752,1,52.49
86,1976,Kansas,Other,libertarian,957845,0.0,7.0,3242,0,0.34
87,1976,Kansas,Other,american independent party,957845,0.0,7.0,2118,0,0.22
88,1976,Kansas,Other,independent,957845,0.0,7.0,13185,0,1.38
89,1976,Kentucky,Other,constitution party,1167142,0.0,9.0,8308,0,0.71
90,1976,Kentucky,Other,socialist workers,1167142,0.0,9.0,350,0,0.03
91,1976,Kentucky,"Carter, Jimmy",democrat,1167142,0.0,9.0,615717,1,52.75
92,1976,Kentucky,"Ford, Gerald",republican,1167142,0.0,9.0,531852,0,45.57
93,1976,Kentucky,Other,communist party use,1167142,0.0,9.0,426,0,0.04
94,1976,Kentucky,Other,u.s. labor,1167142,0.0,9.0,510,0,0.04
95,1976,Kentucky,Other,libertarian,1167142,0.0,9.0,814,0,0.07
96,1976,Kentucky,Other,american independent party,1167142,0.0,9.0,2328,0,0.2
97,1976,Kentucky,Other,independent,1167142,0.0,9.0,6837,0,0.59
98,1976,Louisiana,Other,socialist workers,1277383,0.0,10.0,1473,0,0.12
99,1976,Louisiana,"Carter, Jimmy",democrat,1277383,0.0,10.0,661365,1,51.77
100,1976,Louisiana,"Ford, Gerald",republican,1277383,0.0,10.0,587446,0,45.99
