year,state,candidate,party
2012,Colorado,"Alexander, Stewart",socialist
2012,Florida,"Alexander, Stewart",socialist
2012,Ohio,"Alexander, Stewart",socialist
2008,Colorado,"Allen, Jonathan",heartquake '08
2004,Colorado,"Amondson, Gene",prohibition
2004,Louisiana,"Amondson, Gene",prohibition
2008,Colorado,"Amondson, Gene",prohibition
2008,Florida,"Amondson, Gene",prohibition
2008,Louisiana,"Amondson, Gene",prohibition
1980,Alabama,"Anderson, John B.",independent
1980,Alaska,"Anderson, John B.",independent
1980,Arizona,"Anderson, John B.",independent
1980,Arkansas,"Anderson, John B.",independent
1980,California,"Anderson, John B.",independent
1980,Colorado,"Anderson, John B.",independent
1980,Connecticut,"Anderson, John B.",independent
1980,Delaware,"Anderson, John B.",independent
1980,District of Columbia,"Anderson, John B.",independent
1980,Florida,"Anderson, John B.",independent
1980,Georgia,"Anderson, John B.",independent
1980,Hawaii,"Anderson, John B.",independent
1980,Idaho,"Anderson, John B.",independent
1980,Illinois,"Anderson, John B.",independent
1980,Indiana,"Anderson, John B.",independent
1980,Iowa,"Anderson, John B.",independent
1980,Kansas,"Anderson, John B.",independent
1980,Kentucky,"Anderson, John B.",independent
1980,Louisiana,"Anderson, John B.",independent
1980,Maine,"Anderson, John B.",independent
1980,Maryland,"Anderson, John B.",independent
1980,Massachusetts,"Anderson, John B.",independent
1980,Michigan,"Anderson, John B.",independent
1980,Minnesota,"Anderson, John B.",independent
1980,Mississippi,"Anderson, John B.",independent
1980,Missouri,"Anderson, John B.",independent
1980,Montana,"Anderson, John B.",independent
1980,Nebraska,"Anderson, John B.",independent
1980,Nevada,"Anderson, John B.",independent
1980,New Hampshire,"Anderson, John B.",independent
1980,New Jersey,"Anderson, John B.",independent
1980,New Mexico,"Anderson, John B.",independent
1980,New York,"Anderson, John B.",independent
1980,North Carolina,"Anderson, John B.",independent
1980,North Dakota,"Anderson, John B.",independent
1980,Ohio,"Anderson, John B.",independent
1980,Oklahoma,"Anderson, John B.",independent
1980,Oregon,"Anderson, John B.",independent
1980,Pennsylvania,"Anderson, John B.",independent
1980,Rhode Island,"Anderson, John B.",independent
1980,South Carolina,"Anderson, John B.",independent
1980,South Dakota,"Anderson, John B.",independent
1980,Tennessee,"Anderson, John B.",independent
1980,Texas,"Anderson, John B.",independent
1980,Utah,"Anderson, John B.",independent
1980,Vermont,"Anderson, John B.",independent
1980,Virginia,"Anderson, John B.",independent
1980,Washington,"Anderson, John B.",independent
1980,West Virginia,"Anderson, John B.",independent
1980,Wisconsin,"Anderson, John B.",independent
1980,Wyoming,"Anderson, John B.",independent
1984,Kentucky,"Anderson, John B.",independent
2012,Colorado,"Anderson, Ross Carl """"Rocky""""",justice
2012,Florida,"Anderson, Ross Carl """"Rocky""""",justice
2012,Louisiana,"Anderson, Ross Carl """"Rocky""""",justice
2012,Michigan,"Anderson, Ross Carl """"Rocky""""",justice
2012,Minnesota,"Anderson, Ross Carl """"Rocky""""",justice
2012,New Jersey,"Anderson, Ross Carl """"Rocky""""",justice
2012,Oregon,"Anderson, Ross Carl """"Rocky""""",justice
2012,Rhode Island,"Anderson, Ross Carl """"Rocky""""",justice
2012,Utah,"Anderson, Ross Carl """"Rocky""""",justice
2012,Vermont,"Anderson, Ross Carl """"Rocky""""",justice
2012,Washington,"Anderson, Ross Carl """"Rocky""""",justice
1976,Arizona,"Anderson, Thomas J.",constitution party
1976,Delaware,"Anderson, Thomas J.",constitution party
1976,Florida,"Anderson, Thomas J.",constitution party
1976,Indiana,"Anderson, Thomas J.",constitution party
1976,Iowa,"Anderson, Thomas J.",constitution party
1976,Kansas,"Anderson, Thomas J.",constitution party
1976,Kentucky,"Anderson, Thomas J.",constitution party
1976,Massachusetts,"Anderson, Thomas J.",constitution party
1976,Minnesota,"Anderson, Thomas J.",constitution party
1976,Mississippi,"Anderson, Thomas J.",constitution party
1976,Montana,"Anderson, Thomas J.",constitution party
1976,North Carolina,"Anderson, Thomas J.",constitution party
1976,North Dakota,"Anderson, Thomas J.",constitution party
1976,Oregon,"Anderson, Thomas J.",constitution party
1976,South Carolina,"Anderson, Thomas J.",constitution party
1976,Tennessee,"Anderson, Thomas J.",constitution party
1976,Texas,"Anderson, Thomas J.",constitution party
1976,Utah,"Anderson, Thomas J.",constitution party
1976,Virginia,"Anderson, Thomas J.",constitution party
1976,Washington,"Anderson, Thomas J.",constitution party
2004,Colorado,"Andress, Stanford",unaffiliated
2016,Colorado,"Atwood, Frank",approval voting party
2004,Alaska,"Badnarik, Michael",libertarian
2004,Arizona,"Badnarik, Michael",libertarian
2004,Arkansas,"Badnarik, Michael",libertarian
2004,California,"Badnarik, Michael",libertarian
2004,Colorado,"Badnarik, Michael",libertarian
2004,Connecticut,"Badnarik, Michael",libertarian
2004,Delaware,"Badnarik, Michael",libertarian
2004,District of Columbia,"Badnarik, Michael",libertarian
2004,Florida,"Badnarik, Michael",libertarian
2004,Georgia,"Badnarik, Michael",libertarian
2004,Hawaii,"Badnarik, Michael",libertarian
2004,Idaho,"Badnarik, Michael",libertarian
2004,Illinois,"Badnarik, Michael",libertarian
2004,Indiana,"Badnarik, Michael",libertarian
2004,Iowa,"Badnarik, Michael",libertarian
2004,Kansas,"Badnarik, Michael",libertarian
2004,Kentucky,"Badnarik, Michael",libertarian
2004,Louisiana,"Badnarik, Michael",libertarian
2004,Maine,"Badnarik, Michael",libertarian
2004,Maryland,"Badnarik, Michael",libertarian
2004,Massachusetts,"Badnarik, Michael",libertarian
2004,Michigan,"Badnarik, Michael",libertarian
2004,Minnesota,"Badnarik, Michael",libertarian
2004,Mississippi,"Badnarik, Michael",libertarian
2004,Missouri,"Badnarik, Michael",libertarian
2004,Montana,"Badnarik, Michael",libertarian
2004,Nebraska,"Badnarik, Michael",libertarian
2004,Nevada,"Badnarik, Michael",libertarian
2004,New Mexico,"Badnarik, Michael",libertarian
2004,New York,"Badnarik, Michael",libertarian
2004,North Carolina,"Badnarik, Michael",libertarian
2004,North Dakota,"Badnarik, Michael",libertarian
2004,Oregon,"Badnarik, Michael",libertarian
2004,Pennsylvania,"Badnarik, Michael",libertarian
2004,Rhode Island,"Badnarik, Michael",libertarian
2004,South Carolina,"Badnarik, Michael",libertarian
2004,South Dakota,"Badnarik, Michael",libertarian
2004,Texas,"Badnarik, Michael",libertarian
2004,Utah,"Badnarik, Michael",libertarian
2004,Vermont,"Badnarik, Michael",libertarian
2004,Virginia,"Badnarik, Michael",libertarian
2004,Washington,"Badnarik, Michael",libertarian
2004,West Virginia,"Badnarik, Michael",libertarian
2004,Wisconsin,"Badnarik, Michael",libertarian
2004,Wyoming,"Badnarik, Michael",libertarian
1984,Iowa,"Baker, Gerald",big deal party
2008,Alaska,"Baldwin, Charles """"Chuck""""",constitution party
2008,Arkansas,"Baldwin, Charles """"Chuck""""",constitution party
2008,Colorado,"Baldwin, Charles """"Chuck""""",constitution party
2008,Delaware,"Baldwin, Charles """"Chuck""""",constitution party
2008,Florida,"Baldwin, Charles """"Chuck""""",constitution party
2008,Hawaii,"Baldwin, Charles """"Chuck""""",constitution party
2008,Idaho,"Baldwin, Charles """"Chuck""""",constitution party
2008,Illinois,"Baldwin, Charles """"Chuck""""",constitution party
2008,Iowa,"Baldwin, Charles """"Chuck""""",constitution party
2008,Kansas,"Baldwin, Charles """"Chuck""""",constitution party
2008,Kentucky,"Baldwin, Charles """"Chuck""""",constitution party
2008,Louisiana,"Baldwin, Charles """"Chuck""""",constitution party
2008,Maryland,"Baldwin, Charles """"Chuck""""",constitution party
2008,Massachusetts,"Baldwin, Charles """"Chuck""""",constitution party
2008,Michigan,"Baldwin, Charles """"Chuck""""",constitution party
2008,Minnesota,"Baldwin, Charles """"Chuck""""",constitution party
2008,Mississippi,"Baldwin, Charles """"Chuck""""",constitution party
2008,Missouri,"Baldwin, Charles """"Chuck""""",constitution party
2008,Nebraska,"Baldwin, Charles """"Chuck""""",constitution party
2008,Nevada,"Baldwin, Charles """"Chuck""""",constitution party
2008,New Jersey,"Baldwin, Charles """"Chuck""""",constitution party
2008,New Mexico,"Baldwin, Charles """"Chuck""""",constitution party
2008,North Dakota,"Baldwin, Charles """"Chuck""""",constitution party
2008,Ohio,"Baldwin, Charles """"Chuck""""",constitution party
2008,Oregon,"Baldwin, Charles """"Chuck""""",constitution party
2008,Rhode Island,"Baldwin, Charles """"Chuck""""",constitution party
2008,South Carolina,"Baldwin, Charles """"Chuck""""",constitution party
2008,South Dakota,"Baldwin, Charles """"Chuck""""",constitution party
2008,Utah,"Baldwin, Charles """"Chuck""""",constitution party
2008,Vermont,"Baldwin, Charles """"Chuck""""",constitution party
2008,Virginia,"Baldwin, Charles """"Chuck""""",constitution party
2008,Washington,"Baldwin, Charles """"Chuck""""",constitution party
2008,West Virginia,"Baldwin, Charles """"Chuck""""",constitution party
2008,Wisconsin,"Baldwin, Charles """"Chuck""""",constitution party
2012,Kansas,"Baldwin, Charles """"Chuck""""",constitution party
2012,Florida,"Barnett, Andre",reform party
2008,Alaska,"Barr, Bob",libertarian
2008,Arizona,"Barr, Bob",libertarian
2008,Arkansas,"Barr, Bob",libertarian
2008,California,"Barr, Bob",libertarian
2008,Colorado,"Barr, Bob",libertarian
2008,Delaware,"Barr, Bob",libertarian
2008,Florida,"Barr, Bob",libertarian
2008,Georgia,"Barr, Bob",libertarian
2008,Hawaii,"Barr, Bob",libertarian
2008,Idaho,"Barr, Bob",libertarian
2008,Illinois,"Barr, Bob",libertarian
2008,Indiana,"Barr, Bob",libertarian
2008,Iowa,"Barr, Bob",libertarian
2008,Kansas,"Barr, Bob",libertarian
2008,Kentucky,"Barr, Bob",libertarian
2008,Maryland,"Barr, Bob",libertarian
2008,Massachusetts,"Barr, Bob",libertarian
2008,Michigan,"Barr, Bob",libertarian
2008,Minnesota,"Barr, Bob",libertarian
2008,Mississippi,"Barr, Bob",libertarian
2008,Missouri,"Barr, Bob",libertarian
2008,Montana,"Barr, Bob",libertarian
2008,Nebraska,"Barr, Bob",libertarian
