name,party
"Amondson, Gene",prohibition
"Anderson, John B.",independent
"Anderson, Ross Carl """"Rocky""""",progressive
"Anderson, Thomas J.",constitution party
"Baldwin, Charles """"Chuck""""",constitution party
"Boss, Jeffery",nsa did 911
"Brisben, J. Quinn",socialist workers
"Brown, Walt",socialist
"Bubar, Benjamin """"Ben""""",prohibition
"Buchanan, Patrick """"Pat""""",independent
"Bush, George H.W.",republican
"Bush, George W.",republican
"Calero, Roger",socialist
"Camejo, Peter",socialist workers
"Carter, Jimmy",democrat
"Castle, Darrell L.",constitution party
"Clark, Edward """"Ed""""",libertarian
"Clinton, Bill",democrat
"Clinton, Hillary",democrat
"Cobb, David",green
"Collins, Charles",independent
"Daniels, Ron",peace & freedom
"De La Fuente, Roque """"Rocky""""",independent
"Dodge, Earl",prohibition
"Dole, Robert",republican
"Dukakis, Michael",democrat
"Duke, David",populist
"Emidio """"Mimi"""", Soltysik",socialist party usa
"Ford, Gerald",republican
"Fulani, Lenora",independent
"Goode, Virgil Hamlin, Jr.",constitution party
"Gore, Al",democrat
"Gritz, James """"Bo""""",constitution party
"Hagelin, John",independence
"Hall, Gus",independent
"Hoefling, Thomas Conrad """"Tom""""",american independent party
"Hollis, Mary Cal",socialist
"Jay, Charles",boston tea party
"Johnson, Gary",libertarian
"Julius """"Jules"""", Levin",socialist labor
"Kahn, Lynn S.",independent
"Kenoyer, Willa",socialist
"Kerry, John",democrat
"Keyes, Alan",american independent party
"La Riva, Gloria Estella",workers world
"Larouche, Lyndon, Jr.",independent
"Lyttle, Bradford",nonviolent resistance/pacifist
"Macbride, Roger",libertarian
"Maddox, Lester",constitution party
"McCain, John",republican
"McCarthy, Eugene """"Gene""""",progressive
"McCormack, Ellen",right-to-life
"McKinney, Cynthia",green
"McMullin, Evan",independent
"McReynolds, David",socialist
"Mondale, Walter",democrat
"Moore, Brian",socialist
"Moorehead, Monica",workers world
"Nader, Ralph",green
"Obama, Barack H.",democrat
"Parker, John",workers world
"Paul, Ronald """"Ron""""",libertarian
"Perot, Ross",independent
"Peroutka, Michael",constitution party
"Phillips, Howard",constitution party
"Rarick, John",conservative
"Reagan, Ronald",republican
"Romney, Mitt",republican
"Stein, Jill",green
"Templin, Diane",independent american
"Trump, Donald J.",republican
"Winn, Edward",workers league
"Wright, Margaret",peace & freedom
"Zeidler, Frank",socialist
